Title,Price,Availability,Rating,Image_URL
Poems That Make Grown Women Cry,14.19,In stock,4,https://books.toscrape.com/media/cache/38/64/386468a8c3e6b880664bf7885bf6f726.jpg
"Nightingale, Sing",38.28,In stock,1,https://books.toscrape.com/media/cache/18/08/18086e581ad354aa65f945c2b5c51350.jpg
Night Sky with Exit Wounds,41.05,In stock,1,https://books.toscrape.com/media/cache/25/54/2554431c797ec725eea50b3f8a83758c.jpg
Mrs. Houdini,30.25,In stock,5,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg
Modern Romance,28.26,In stock,5,https://books.toscrape.com/media/cache/28/78/2878538a1039d9c4649110499a1393fb.jpg
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,In stock,1,https://books.toscrape.com/media/cache/01/26/01264865c12ed6d987d6f0858cd1d0ba.jpg
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,2,https://books.toscrape.com/media/cache/6f/d9/6fd92e5143cbd5bb8bcf034e5f007dde.jpg
Little Red,13.47,In stock,3,https://books.toscrape.com/media/cache/80/25/8025b80a40178f2a6dd4f99ad88e0fba.jpg
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,In stock,5,https://books.toscrape.com/media/cache/f8/54/f85417465a73e33604624205ba8306cc.jpg
Large Print Heart of the Pride,19.15,In stock,2,https://books.toscrape.com/media/cache/bd/e9/bde95ab9f776c911a7aa759cad60bb41.jpg
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,In stock,4,https://books.toscrape.com/media/cache/5f/72/5f72c8a0d5a7292e2929a354ec8a022f.jpg
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,In stock,1,https://books.toscrape.com/media/cache/e2/60/e260b008b7ea7970562295b7bc64b0cb.jpg
Grumbles,22.16,In stock,2,https://books.toscrape.com/media/cache/d6/1b/d61b12ef0e69d49e2645537dd6a8472a.jpg
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,4,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg
Frostbite (Vampire Academy #2),29.99,In stock,5,https://books.toscrape.com/media/cache/71/76/7176317f1915fa0658bb2fe400441207.jpg
Follow You Home,21.36,In stock,1,https://books.toscrape.com/media/cache/a7/4b/a74b35375ce874153fd352e33bc7bac9.jpg
First Steps for New Christians (Print Edition),29.0,In stock,1,https://books.toscrape.com/media/cache/f1/73/f1731459b1e2f4becf2c52b8f30b8cd7.jpg
Finders Keepers (Bill Hodges Trilogy #2),53.53,In stock,5,https://books.toscrape.com/media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,4,https://books.toscrape.com/media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg
Eureka Trivia 6.0,54.59,In stock,4,https://books.toscrape.com/media/cache/96/17/96173470df6fc6fef4d0008e957653ce.jpg
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,4,https://books.toscrape.com/media/cache/8a/49/8a490347afdc10abe7c2099e466de32f.jpg
Done Rubbed Out (Reightman & Bailey #1),37.72,In stock,5,https://books.toscrape.com/media/cache/08/4d/084da0199a717cb6c1eda30f98d0ea4c.jpg
Doing It Over (Most Likely To #1),35.61,In stock,3,https://books.toscrape.com/media/cache/e9/25/e9250495a525eb203652ad9da85ccb8e.jpg
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,In stock,3,https://books.toscrape.com/media/cache/20/f2/20f28657b49f8cb24ed2ec6448bb6df3.jpg
